Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
64.233.166.189-192.168.100.62-443-58930-17,64.233.166.189,443,192.168.100.62,58930,17,23/05/2021 03:35:54 PM,24967906,2,2,97.0,68.0,49.0,48.0,48.5,0.7071067811865476,34.0,34.0,34.0,0.0,6.608483707043755,0.16020566562530314,8322635.333333334,1.4378958106290814E7,2.4926026E7,20939.0,2.4946967E7,2.4946967E7,0.0,2.4946967E7,2.4946967E7,2.4946965E7,2.4946965E7,0.0,2.4946965E7,2.4946965E7,0,0,0,0,16,16,0.08010283281265157,0.08010283281265157,34.0,49.0,42.6,7.861297602813418,61.8,0,0,0,0,0,0,0,0,1.0,53.25,48.5,34.0,0,0,0,0,0,0,0,24,0,17,0,0,1,8,20941.0,0.0,20941.0,20941.0,8.108866895645795E14,1.146766918679326E15,1.621773354203133E15,2.4926026E7,NeedManualLabel
192.168.100.62-172.217.21.42-45896-443-6,192.168.100.62,45896,172.217.21.42,443,6,23/05/2021 03:35:41 PM,195172,14,12,782.0,8779.0,517.0,0.0,55.85714285714287,140.75776089703638,1388.0,0.0,731.5833333333333,677.931004579151,48987.55969093927,133.2158301395692,7806.880000000001,23101.17367747073,113824.0,2.0,174329.0,13409.923076923074,35972.56872132231,131202.0,3.0,176137.0,16012.454545454546,33783.91276440204,113824.0,2.0,0,0,0,0,456,392,71.73160084438341,61.484229295185784,0.0,1388.0,354.1111111111111,568.1838362668122,322832.87179487175,0,2,0,7,25,0,0,0,0.0,367.7307692307692,55.857142857142854,731.5833333333334,0,0,0,9561,12,63850,0,30,0,337,64240,265,4,32,0,0,0,0,1.621773341233308E15,0.0,1.621773341233308E15,1.621773341233308E15,NeedManualLabel
192.168.100.62-8.8.8.8-59316-53-17,192.168.100.62,59316,8.8.8.8,53,17,23/05/2021 03:35:41 PM,133568,1,1,56.0,84.0,56.0,56.0,56.0,0.0,84.0,84.0,84.0,0.0,1048.1552467656925,14.973646382367034,133568.0,0.0,133568.0,133568.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.486823191183517,7.486823191183517,56.0,84.0,65.33333333333333,16.165807537309522,261.33333333333337,0,0,0,0,0,0,0,0,1.0,98.0,56.0,84.0,0,0,0,0,0,0,0,28,0,42,0,0,0,8,0,0,0,0,1.621773341100791E15,0.0,1.621773341100791E15,1.621773341100791E15,NeedManualLabel
192.168.100.169-239.255.255.250-49311-1900-17,192.168.100.169,49311,239.255.255.250,1900,17,23/05/2021 03:36:14 PM,41438,3,0,375.0,0.0,125.0,125.0,125.0,0.0,0,0,0,0,9049.664559100342,72.39731647280274,20719.0,29241.693829188487,41396.0,42.0,41438.0,20719.0,29241.693829188487,41396.0,42.0,0,0,0,0,0,0,0,0,0,24,0,72.39731647280274,0.0,125.0,125.0,125.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,166.66666666666666,125.0,0.0,0,0,0,0,0,0,1,125,0,0,0,0,2,8,0,0,0,0,1.62177337452103E15,0.0,1.62177337452103E15,1.62177337452103E15,NeedManualLabel
192.168.100.62-74.125.133.156-54610-443-6,192.168.100.62,54610,74.125.133.156,443,6,23/05/2021 03:35:32 PM,126576,2,2,39.0,39.0,39.0,0.0,19.5,27.577164466275352,39.0,0.0,19.5,27.577164466275352,616.2305650360258,31.601567437744915,42192.0,73039.71728450214,126531.0,12.0,126576.0,126576.0,0.0,126576.0,126576.0,12.0,12.0,0.0,12.0,12.0,1,0,0,0,64,64,15.800783718872458,15.800783718872458,0.0,39.0,23.4,21.361179742701477,456.29999999999995,0,0,0,2,4,0,0,0,1.0,29.25,19.5,19.5,0,0,0,0,0,0,0,9,0,9,63,269,0,32,0,0,0,0,1.621773332766349E15,0.0,1.621773332766349E15,1.621773332766349E15,NeedManualLabel
192.168.100.62-8.8.8.8-43781-53-17,192.168.100.62,43781,8.8.8.8,53,17,23/05/2021 03:35:41 PM,131850,1,1,56.0,72.0,56.0,56.0,56.0,0.0,72.0,72.0,72.0,0.0,970.8001516875238,15.16875237011756,131850.0,0.0,131850.0,131850.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.58437618505878,7.58437618505878,56.0,72.0,61.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,92.0,56.0,72.0,0,0,0,0,0,0,0,28,0,36,0,0,0,8,0,0,0,0,1.621773341100642E15,0.0,1.621773341100642E15,1.621773341100642E15,NeedManualLabel
192.168.100.62-151.101.65.69-59658-443-6,192.168.100.62,59658,151.101.65.69,443,6,23/05/2021 03:35:32 PM,96950,2,2,46.0,46.0,46.0,0.0,23.0,32.526911934581186,46.0,0.0,23.0,32.526911934581186,948.9427539969057,41.25838060856112,32316.666666666664,55942.065713855554,96913.0,16.0,96950.0,96950.0,0.0,96950.0,96950.0,16.0,16.0,0.0,16.0,16.0,1,0,0,0,64,64,20.62919030428056,20.62919030428056,0.0,46.0,27.6,25.195237645237643,634.8000000000001,0,0,0,2,4,0,0,0,1.0,34.5,23.0,23.0,0,0,0,0,0,0,0,11,0,11,604,145,0,32,0,0,0,0,1.621773332766092E15,0.0,1.621773332766092E15,1.621773332766092E15,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/05/2021 03:35:32 PM,48016013,77,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.6036316884535997,631789.6447368419,894912.8328994389,5248479.0,95.0,4.8016013E7,631789.6447368419,894912.8328994389,5248479.0,95.0,0,0,0,0,0,0,0,0,0,0,0,1.6036316884535997,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.48558665E7,8495581.798720114,2.086315E7,8848583.0,5.405911144491886E14,9.363312672557171E14,1.621773332850692E15,5248395.0,NeedManualLabel
192.168.100.62-157.240.227.60-48914-443-6,192.168.100.62,48914,157.240.227.60,443,6,23/05/2021 03:35:46 PM,32197774,6,6,120.0,141.0,40.0,0.0,20.0,21.908902300206645,47.0,0.0,23.5,25.742960202742807,8.106150443816395,0.3726965721294894,2927070.3636363638,6345227.8011411745,1.7257555E7,38.0,3.2197774E7,6439554.8,8508157.475165566,1.7257555E7,251340.0,3.2179497E7,6435899.4,8529372.844217287,1.7278101E7,230868.0,1,0,0,0,192,192,0.1863482860647447,0.1863482860647447,0.0,47.0,23.153846153846157,22.46792585682293,504.8076923076924,0,0,0,6,12,0,0,0,1.0,25.083333333333332,20.0,23.5,0,0,0,0,0,0,0,10,0,11,63,2085,2,32,251380.0,56.568542494923804,251420.0,251340.0,5.40591125812263E14,9.363312688706039E14,1.621773346078477E15,1.4100757E7,NeedManualLabel
140.82.113.25-192.168.100.62-443-55156-6,140.82.113.25,443,192.168.100.62,55156,6,23/05/2021 03:35:35 PM,211808,2,1,26.0,30.0,26.0,0.0,13.0,18.384776310850235,30.0,30.0,30.0,0.0,264.3903912977791,14.163770962381024,105904.0,149530.45680395683,211638.0,170.0,211808.0,211808.0,0.0,211808.0,211808.0,0,0,0,0,0,1,0,0,0,64,32,9.442513974920683,4.721256987460341,0.0,30.0,20.5,13.79613472438325,190.3333333333333,0,0,0,2,3,0,0,0,0.0,27.333333333333332,13.0,30.0,0,0,0,0,0,0,0,8,0,10,71,63,0,32,0,0,0,0,1.621773335837067E15,0.0,1.621773335837067E15,1.621773335837067E15,NeedManualLabel
192.168.100.1-192.168.100.62-0-0-0,192.168.100.1,0,192.168.100.62,0,0,23/05/2021 03:35:59 PM,74357,31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.8152426805815,1218.9672131147543,6698.494059531125,52606.0,27.0,74326.0,2477.533333333333,9473.842364849806,52634.0,637.0,74316.0,2477.2000000000003,9475.030333497072,52640.0,638.0,0,0,0,0,0,0,416.90762134029075,416.90762134029075,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.621773359547469E15,0.0,1.621773359547469E15,1.621773359547469E15,NeedManualLabel
